iter	Passed	Remaining
578	3916	2847
579	3923	2841
580	3930	2834
581	3936	2827
582	3940	2818
583	3947	2811
584	3953	2804
585	3960	2797
586	3963	2788
587	3970	2782
588	3977	2775
589	3983	2768
590	3990	2761
591	3997	2754
592	4003	2747
593	4010	2740
594	4016	2734
595	4023	2727
596	4029	2720
597	4036	2713
598	4043	2706
599	4050	2700
600	4056	2693
601	4063	2686
602	4069	2679
603	4076	2672
604	4082	2665
605	4089	2659
606	4096	2652
607	4103	2645
608	4110	2638
609	4117	2632
610	4123	2625
611	4130	2618
612	4137	2612
613	4144	2605
614	4151	2598
615	4157	2591
616	4164	2585
617	4171	2578
618	4177	2571
619	4184	2564
620	4191	2557
621	4198	2551
622	4204	2544
623	4211	2537
624	4218	2531
625	4225	2524
626	4231	2517
627	4238	2510
628	4245	2503
629	4252	2497
630	4258	2490
631	4265	2483
632	4272	2477
633	4279	2470
634	4286	2463
635	4292	2456
636	4299	2450
637	4306	2443
638	4313	2436
639	4320	2430
640	4326	2423
641	4333	2416
642	4340	2409
643	4347	2403
644	4354	2396
645	4361	2389
646	4368	2383
647	4374	2376
648	4382	2369
649	4389	2363
650	4395	2356
651	4402	2349
652	4409	2342
653	4415	2336
654	4422	2329
655	4429	2322
656	4436	2315
657	4442	2309
658	4449	2302
659	4456	2295
660	4463	2288
661	4469	2282
662	4476	2275
663	4483	2268
664	4490	2261
665	4496	2255
666	4503	2248
667	4510	2241
668	4517	2235
669	4524	2228
670	4531	2221
671	4538	2215
672	4545	2208
673	4551	2201
674	4558	2194
675	4565	2187
676	4571	2181
677	4578	2174
678	4585	2167
679	4592	2161
680	4598	2154
681	4605	2147
682	4612	2140
683	4618	2133
684	4625	2127
685	4632	2120
686	4639	2113
687	4646	2106
688	4652	2100
689	4659	2093
690	4666	2086
691	4672	2079
692	4679	2073
693	4686	2066
694	4692	2059
695	4699	2052
696	4706	2045
697	4712	2039
698	4719	2032
699	4726	2025
700	4733	2018
701	4740	2012
702	4746	2005
703	4753	1998
704	4760	1991
705	4767	1985
706	4774	1978
707	4781	1971
708	4788	1965
709	4795	1958
710	4802	1952
711	4809	1945
712	4815	1938
713	4822	1931
714	4828	1924
715	4835	1918
716	4842	1911
717	4848	1904
718	4855	1897
719	4862	1891
720	4869	1884
721	4876	1877
722	4883	1870
723	4889	1864
724	4896	1857
725	4902	1850
726	4909	1843
727	4916	1836
728	4923	1830
729	4930	1823
730	4937	1816
731	4944	1810
732	4950	1803
733	4957	1796
734	4964	1789
735	4970	1783
736	4977	1776
737	4983	1769
738	4990	1762
739	4997	1755
740	5004	1749
741	5010	1742
742	5017	1735
743	5024	1728
744	5031	1722
745	5037	1715
746	5044	1708
747	5050	1701
748	5057	1694
749	5064	1688
750	5071	1681
751	5078	1674
752	5084	1667
753	5091	1661
754	5098	1654
755	5104	1647
756	5111	1640
757	5118	1633
758	5124	1627
759	5131	1620
760	5138	1613
761	5144	1606
762	5151	1600
763	5158	1593
764	5165	1586
765	5171	1579
766	5178	1573
767	5185	1566
768	5192	1559
769	5199	1552
770	5206	1546
771	5213	1539
772	5219	1532
773	5226	1526
774	5229	1518
775	5235	1511
776	5242	1504
777	5249	1497
778	5256	1491
779	5263	1484
780	5270	1477
781	5277	1471
782	5283	1464
783	5290	1457
784	5297	1450
785	5303	1443
786	5310	1437
787	5316	1430
788	5323	1423
789	5330	1416
790	5336	1410
791	5343	1403
792	5349	1396
793	5356	1389
794	5363	1383
795	5369	1376
796	5376	1369
797	5383	1362
798	5402	1359
799	5409	1352
800	5415	1345
801	5422	1338
802	5429	1331
803	5435	1325
804	5442	1318
805	5448	1311
806	5455	1304
807	5462	1297
808	5468	1291
809	5475	1284
810	5481	1277
811	5488	1270
812	5495	1263
813	5501	1257
814	5508	1250
815	5515	1243
816	5523	1237
817	5529	1230
818	5536	1223
819	5543	1216
820	5550	1210
821	5557	1203
822	5563	1196
823	5570	1189
824	5577	1183
825	5584	1176
826	5590	1169
827	5597	1162
828	5604	1156
829	5611	1149
830	5617	1142
831	5624	1135
832	5630	1128
833	5637	1122
834	5643	1115
835	5650	1108
836	5656	1101
837	5663	1094
838	5670	1088
839	5677	1081
840	5684	1074
841	5691	1068
842	5698	1061
843	5705	1054
844	5712	1047
845	5720	1041
846	5727	1034
847	5734	1027
848	5740	1020
849	5747	1014
850	5754	1007
851	5760	1000
852	5767	993
853	5774	987
854	5780	980
855	5787	973
856	5794	966
857	5800	960
858	5807	953
859	5813	946
860	5820	939
861	5827	932
862	5834	926
863	5841	919
864	5848	912
865	5854	905
866	5861	899
867	5867	892
868	5875	885
869	5882	878
870	5888	872
871	5895	865
872	5902	858
873	5909	851
874	5915	845
875	5922	838
876	5929	831
877	5936	824
878	5943	818
879	5950	811
880	5957	804
881	5965	798
882	5971	791
883	5978	784
884	5985	777
885	5992	770
886	5998	764
887	6005	757
888	6012	750
889	6019	743
890	6025	737
891	6032	730
892	6039	723
893	6045	716
894	6052	710
895	6059	703
896	6065	696
897	6072	689
898	6079	683
899	6086	676
900	6093	669
901	6100	662
902	6106	655
903	6113	649
904	6120	642
905	6127	635
906	6133	628
907	6140	622
908	6147	615
909	6154	608
910	6161	601
911	6168	595
912	6174	588
913	6181	581
914	6188	574
915	6194	568
916	6201	561
917	6208	554
918	6214	547
919	6221	541
920	6228	534
921	6234	527
922	6241	520
923	6248	513
924	6255	507
925	6261	500
926	6268	493
927	6274	486
928	6281	480
929	6288	473
930	6295	466
931	6301	459
932	6308	453
933	6315	446
934	6322	439
935	6329	432
936	6336	426
937	6342	419
938	6349	412
939	6356	405
940	6363	398
941	6370	392
942	6377	385
943	6384	378
944	6390	371
945	6397	365
946	6404	358
947	6410	351
948	6417	344
949	6424	338
950	6430	331
951	6437	324
952	6444	317
953	6451	311
954	6458	304
955	6465	297
956	6471	290
957	6478	284
958	6485	277
959	6491	270
960	6498	263
961	6505	256
962	6512	250
963	6519	243
964	6526	236
965	6532	229
